,AA,C,C_depth,F,F_depth,F_fit,F_fit_depth,F_fit_params,F_fit_r,F_r,Psuc,beta,hamiltonian,nqubits,trial
8,11699.445983837977,479106.89998520835,285.69205814603885,59346.89063120947,771.4290800284728,31663.304683184877,348.0360239640873,[2.39209261],6,29,0.0005963012808933854,202,weighted_maxcut,12,1
9,13331.405793882155,555905.1516879154,319.70630223792216,64575.7959599397,884.454053252583,33216.20552657445,382.79744064038937,[2.44287079],6,32,0.0005751094431616366,227,weighted_maxcut,12,1
10,14967.97656166298,633394.3457824527,353.71380221862876,69486.60694179726,980.0074197763151,42045.866597967644,405.68502891140133,[5.74155375],7,34,0.0005584416794590652,252,weighted_maxcut,12,1
11,16604.8772922397,711143.8924694351,387.71611879123054,74098.01101911745,1077.537168695243,43503.440760300015,439.50606620889357,[5.93217755],7,36,0.0005452006589621305,277,weighted_maxcut,12,1
12,18239.145891404598,788843.0234400874,421.71437531032086,78431.24691897644,1177.0435369837764,38561.07731996188,457.515585900152,[3.11191809],4,38,0.0005345985991880298,302,weighted_maxcut,12,1
13,19868.789394734402,866273.0883735636,455.7094030861476,82509.26122218928,1278.5197792837173,44119.579828789225,489.66352578630233,[3.60820154],4,40,0.0005260574398562312,327,weighted_maxcut,12,1
14,21492.539627964696,943286.7710428067,489.701831765295,86352.19858711724,1356.5846117558974,39069.99425381273,539.9363319208934,[2.89252204],5,41,0.0005191441741771996,352,weighted_maxcut,12,1
15,23109.67547356462,1019792.0723091883,523.6921476396363,89981.2358749415,1461.0711467861317,48239.679299689305,549.9049321055646,[6.04112065],4,43,0.0005135283572599292,377,weighted_maxcut,12,1
16,24719.87826217358,1095738.7375836922,557.6807320367354,93421.37705106959,1567.5065798121154,46724.07122527129,603.9025840853808,[5.74081068],6,45,0.0005089541082270443,402,weighted_maxcut,12,1
17,26323.12489317483,1171107.8432996382,591.6678878944148,96688.41936007467,1648.0159247312695,43313.68616088108,664.080943853386,[3.57726849],7,46,0.0005052206688560545,427,weighted_maxcut,12,1
18,27919.605114346145,1245903.5282280024,625.6538584890923,99799.28392800655,1757.4545156032664,48403.39508012648,660.4238120461613,[3.75790125],4,48,0.0005021687829867005,452,weighted_maxcut,12,1
19,29509.649880491186,1320145.7863657095,659.6388406968996,102772.78716025941,1839.41852863233,65540.17980367165,669.9467701168929,[5.74424381],2,49,0.0004996712086722255,477,weighted_maxcut,12,1
20,31093.683157018582,1393865.4559633462,693.6229950550442,105620.16863847854,1951.8434590476359,56773.118097022634,722.781136531548,[11.57732961],6,51,0.0004976255004294217,502,weighted_maxcut,12,1
0,12.975194463236777,22.75611093973646,7.39826202309594,26.096467714225998,10.896507596617663,23.914626364224784,7.774908133270955,[1000.],6,2,0.3251110017299652,2,weighted_maxcut,12,2
1,917.2121600922726,18164.825609389954,46.31358234379362,7121.459320199511,98.49415571792149,6280.0668145354875,79.97405275831787,[1.66579182],5,7,0.0025496298912912607,27,weighted_maxcut,12,2
2,2045.6793078117746,51700.7160602723,80.94286016330312,14014.062371011321,187.46493663901472,12790.07997811536,102.6728568952707,[4.22194154],4,11,0.0015656042378395796,52,weighted_maxcut,12,2
3,3332.2484279997575,96371.36464145829,115.21969858181342,20865.51639827945,285.09508751245426,18666.225679906882,124.62525045158273,[3.51511832],2,15,0.0011955802328884602,77,weighted_maxcut,12,2
4,4778.578407288095,152856.3922142598,149.38735151221096,28187.7707554869,376.94662893231197,19085.61150188084,181.6943517952409,[2.50191717],4,18,0.0009773052297532558,102,weighted_maxcut,12,2
5,6346.565129734111,219503.89673960072,183.4996532828761,35737.687365246085,473.54344310510766,29644.187641973127,193.34617015752826,[4.02733174],2,21,0.0008359744679182768,127,weighted_maxcut,12,2
6,7998.392093662655,294029.6111887928,217.5776644580474,43253.03113642749,574.7716274394786,29882.788578831296,248.44348555205067,[3.38744234],4,24,0.0007399855530820787,152,weighted_maxcut,12,2
7,9701.789613353838,374056.796352188,251.6321655419371,50509.3772902052,662.3177130560207,32107.479154160326,273.5977555704988,[3.21898282],3,26,0.0006727111176587641,177,weighted_maxcut,12,2
8,11430.97885949566,457407.01042038423,285.6695999611937,57371.76832682543,751.8464720892481,32990.60222963352,321.30604734020005,[2.68902794],4,28,0.0006245413678698242,202,weighted_maxcut,12,2
9,13166.712477392484,542275.39625148,319.6942340749794,63742.42789425071,863.7823678426813,40020.23903282358,362.0450506932118,[5.68416754],6,31,0.0005895422073081136,227,weighted_maxcut,12,2
10,14895.767742467764,627306.1688113878,353.7090940106106,69593.66377757663,958.3916253833842,35754.12451707576,432.6818509696968,[2.32015611],7,33,0.0005638540023937821,252,weighted_maxcut,12,2
11,16610.002647379315,711582.4188466344,387.7164199659775,74935.10105511095,1054.9921866687603,37333.7477184641,467.50951305348786,[2.35358728],7,35,0.0005448650917969644,277,weighted_maxcut,12,2
12,18305.21138405708,794561.3769663766,421.7179106972783,79800.90417679989,1153.581830545864,38642.989227775324,502.17982445057635,[2.38822947],7,37,0.0005307556129992008,302,weighted_maxcut,12,2
13,19979.97888258188,875985.3657103503,455.714868963251,84238.52827628881,1229.82863157013,45624.390206833545,478.7282888678381,[3.60741269],3,38,0.0005202311440370977,327,weighted_maxcut,12,2
14,21634.715175529745,955795.3209726345,489.70829889603345,88298.4224740641,1331.4564482047153,47621.68032144738,534.2901526100686,[5.89730461],6,40,0.0005123568698763847,352,weighted_maxcut,12,2
15,23270.885301525836,1034056.0680364335,523.6989748003595,92038.79697258535,1435.0622850519499,46568.885974554694,571.2335486187674,[3.40332104],5,42,0.0005064512370154262,377,weighted_maxcut,12,2
16,24890.491140072034,1110902.7104429044,557.6874944764536,95509.42561879916,1540.6287756736876,47301.883277969464,605.5616362647079,[3.41304071],5,44,0.0005020129028707743,402,weighted_maxcut,12,2
17,26495.704669126306,1186501.3290287307,591.6743190572207,98744.3644339428,1620.416958631661,49778.97470717425,638.3493467709967,[5.73618899],6,45,0.0004986714338883758,427,weighted_maxcut,12,2
18,28088.653359426473,1261024.6684872939,625.6598044925315,101789.69613657729,1729.0120789395946,47298.04245618413,686.9160515002268,[3.42521598],6,47,0.0004961519152857363,452,weighted_maxcut,12,2
19,29671.30269708581,1334637.929193417,659.6442259618302,104669.33079022846,1810.2819699866523,43553.10013218445,727.0181886704777,[2.71198604],6,48,0.0004942495725117624,477,weighted_maxcut,12,2
20,31245.402671631484,1407491.4424072288,693.6277967293889,107414.59961311502,1921.8883060357875,59613.582452266244,727.5359195965666,[12.34834177],7,50,0.0004928113776259124,502,weighted_maxcut,12,2
0,14.943780143266823,29.968048048500176,7.451822174366548,32.73719688181915,10.977718344026842,32.737196728463275,10.977718342357498,[1.00000004],2,2,0.2486589103937149,2,weighted_maxcut,12,3
1,1169.245075140767,29393.780038128512,46.51099803997794,10802.760520236134,107.34709798851048,9344.037800088812,79.15795820028043,[1.98625241],5,8,0.0015823415014892817,27,weighted_maxcut,12,3
2,2505.290254591766,77369.80514605677,81.1231105972659,19908.14160606863,209.52712162524494,14679.40845098505,110.21519802927503,[2.23092517],4,13,0.0010485112434253097,52,weighted_maxcut,12,3
3,3883.749401345395,130750.74901802359,115.36078780222897,27085.27723780231,311.06943556851746,19257.805564019887,134.98294946471583,[2.90360131],3,17,0.0008822954259812832,77,weighted_maxcut,12,3
4,5278.651134443978,186406.28620141093,149.48078397452554,33058.718880817876,405.99847796081434,22638.219169049433,169.20509612732928,[3.26207995],3,20,0.0008019084925763309,102,weighted_maxcut,12,3
5,6691.856123313916,243971.3670445966,183.54997521880617,38356.50620190492,505.2983450636433,29347.02780215863,192.93874606594918,[4.36270953],2,23,0.000752342282794416,127,weighted_maxcut,12,3
6,8130.859206848838,303827.56773463555,217.59339330043966,43297.95273013105,609.0128707029423,27366.504326111175,248.40228314041568,[3.40792244],4,26,0.0007161739631555974,152,weighted_maxcut,12,3
7,9599.305979957173,366210.8177617138,251.6219369488957,48046.750351356284,717.0958841208661,31362.05685176919,275.06639122411343,[5.84536743],4,29,0.0006870958604849875,177,weighted_maxcut,12,3
8,11097.104368094064,431120.7408530639,285.6409207144672,52662.7749478291,809.7901629033519,26794.822356883124,360.5768090453064,[2.41732016],7,31,0.0006625543464906514,202,weighted_maxcut,12,3
9,12621.94716895099,498394.96597969113,319.6532092225861,57179.6184619157,904.3904689092981,34249.21024878237,353.15580082353443,[5.68461803],5,33,0.0006413652445189655,227,weighted_maxcut,12,3
10,14170.475177505788,567782.8620758001,353.6604927140267,61598.55288648452,1000.9341014266483,35689.635836615926,377.9587997639509,[6.09661204],4,35,0.0006228798301890492,252,weighted_maxcut,12,3
11,15738.97430026742,638995.127129406,387.66385142450747,65915.24668502997,1099.4364914045793,42204.15205103147,397.7486404469036,[5.07129716],2,37,0.0006066773203201592,277,weighted_maxcut,12,3
12,17323.76855300024,711734.7913077055,421.66402505982273,70124.02819696316,1199.900031533605,36746.18653673715,464.35901808510255,[6.04870208],6,39,0.0005924454308114946,302,weighted_maxcut,12,3
13,18921.417542283543,785714.8406065062,455.6615495935828,74219.77048498034,1302.3191854133538,32071.760083381057,505.4314209689709,[2.86813843],5,41,0.0005799324717372656,327,weighted_maxcut,12,3
14,20528.818519261436,860668.8651367392,489.6568318755392,78198.73975996248,1406.683568998322,39365.247202079925,525.6302454989744,[5.6920972],5,43,0.0005689259269274771,352,weighted_maxcut,12,3
15,22143.240792251785,936356.2168702265,523.650192041817,82058.82250646176,1512.979855230745,46177.480926813594,555.9676799731022,[12.35294644],7,45,0.0005592425004579127,377,weighted_maxcut,12,3
16,23762.330794416823,1012564.4712690618,557.6418892869192,85794.79323129926,1593.9226464875248,43190.16989656943,582.3448436780301,[6.66930112],4,46,0.0005507223540917039,402,weighted_maxcut,12,3
17,25384.096321024554,1089109.7770976285,591.6321380863814,89408.86818377224,1703.1774601633347,34823.679627509795,657.5276635567163,[2.76633604],6,48,0.0005432254401966929,427,weighted_maxcut,12,3
18,27006.882167564527,1165836.0984015341,625.621118965821,92903.12455385074,1785.5009163126429,38898.638499805595,679.5548500278537,[4.47252186],6,49,0.0005366287077777088,452,weighted_maxcut,12,3
